student_base_elo,last_question_difficulty,session_accuracy,current_streak,avg_time_taken,target_difficulty
1811,1892,0.78,3,57,2004
1863,1727,0.94,4,56,1893
1748,1667,0.48,0,12,1684
1937,1804,0.84,5,53,1985
843,829,0.76,0,6,888
920,819,0.27,0,13,804
1914,1913,0.21,0,16,1870
1353,1361,1.0,6,20,1616
1551,1582,0.26,0,16,1546
1580,1587,0.67,0,26,1612
1136,1187,0.63,0,7,1226
1124,1184,0.84,6,12,1435
1924,1950,0.48,0,14,1967
859,841,0.51,3,33,932
1405,1477,0.72,3,55,1580
1998,1974,0.72,3,24,2097
1152,1013,0.32,0,12,1006
1365,1308,0.59,1,49,1332
1579,1630,0.78,1,28,1702
1379,1403,0.76,1,33,1472
805,842,0.63,0,13,882
1603,1523,0.28,0,49,1470
1995,2066,0.92,2,14,2209
808,896,0.97,8,41,1206
1534,1451,0.65,1,12,1524
1881,1798,0.77,3,11,1948
1159,1276,0.34,0,21,1252
1574,1655,0.2,0,17,1610
1627,1573,0.29,0,58,1522
1507,1461,0.55,0,41,1468
1281,1131,0.38,0,46,1093
1103,1120,0.28,0,55,1067
1154,1288,0.86,5,10,1512
1305,1382,0.61,2,32,1458
1648,1581,0.94,7,8,1877
1166,1179,0.77,3,33,1310
1599,1647,0.39,0,41,1630
1531,1628,0.63,2,26,1708
1988,2059,0.6,2,39,2134
1419,1429,0.89,5,13,1658
1036,886,0.34,0,46,842
1653,1697,0.74,1,32,1763
1867,1748,0.24,0,52,1689
1127,1034,0.49,0,18,1032
1671,1595,0.39,0,48,1558
1268,1413,0.35,0,51,1370
1477,1354,0.9,4,52,1514
1820,1923,0.71,2,22,2014
945,1061,0.58,0,25,1073
1104,1228,0.43,0,6,1238
1058,1078,0.53,1,60,1092
1323,1384,0.61,3,22,1490
1892,1882,0.94,7,58,2138
1433,1499,0.21,0,23,1456
1124,1110,0.69,0,37,1138
1019,1152,0.79,2,23,1256
953,918,0.39,0,18,902
1812,1776,0.69,3,22,1894
1372,1326,0.35,0,14,1324
1779,1802,0.45,0,6,1814
1072,1154,0.59,0,25,1168
1277,1174,0.27,0,5,1160
913,895,0.57,1,49,916
801,764,0.76,2,32,863
1442,1457,0.76,0,10,1516
1595,1637,0.4,0,22,1622
1908,1993,0.82,3,28,2131
1415,1305,0.74,3,57,1411
1050,1193,0.79,2,60,1276
1948,1902,0.79,1,56,1956
1946,2096,0.35,0,36,2074
1066,916,0.33,0,54,870
1191,1083,0.41,0,58,1050
1100,1224,0.33,0,52,1178
1967,1933,0.49,0,36,1932
1023,1153,0.29,0,52,1102
1638,1640,0.7,0,31,1670
1576,1516,0.88,2,55,1613
1902,1799,0.54,3,30,1895
1655,1531,0.91,3,11,1702
1347,1214,0.25,0,49,1156
1813,1797,0.24,0,17,1758
1091,996,0.72,1,39,1059
1113,1048,0.42,0,10,1056
1787,1740,0.7,0,44,1770
1223,1098,0.72,0,26,1131
1045,927,0.72,0,38,960
1276,1320,0.34,0,12,1316
1795,1862,0.22,0,32,1820
1625,1706,0.72,1,45,1769
1059,1063,0.42,0,60,1031
1964,2092,0.5,0,33,2092
1634,1579,0.72,3,56,1682
1892,1910,0.68,1,32,1967
867,1006,0.26,0,25,970
1580,1442,0.57,1,52,1462
922,847,0.31,0,53,798
1277,1229,0.53,0,8,1254
926,927,0.41,0,18,914
1792,1713,0.62,1,10,1781
994,1033,0.76,0,21,1072
1522,1482,0.63,3,7,1612
1877,1947,0.63,1,16,1996
1076,1059,0.68,2,9,1166
933,917,0.78,0,31,959
1707,1684,0.28,0,56,1631
1852,1720,0.36,0,7,1719
1027,1167,0.44,0,8,1178
1002,1015,0.78,2,14,1137
1122,1148,0.92,5,40,1361
1068,1102,0.89,5,7,1330
888,992,0.31,0,28,964
1784,1706,0.55,3,14,1824
809,943,0.8,3,17,1078
1318,1296,0.57,1,28,1336
1510,1415,0.55,1,41,1452
898,834,0.44,0,60,805
1819,1882,0.85,2,32,1994
1349,1431,0.96,7,27,1710
1913,2011,0.39,0,31,1994
1741,1799,0.27,0,22,1764
1601,1585,0.69,2,19,1674
1958,1849,0.75,0,13,1906
934,911,0.35,0,12,908
1474,1544,0.5,0,30,1544
1367,1274,0.31,0,59,1226
1130,1169,0.59,2,40,1242
1706,1636,0.9,8,26,1936
1921,1819,0.77,1,26,1890
1429,1374,0.83,4,25,1544
972,868,0.54,2,26,934
1542,1596,0.83,2,40,1706
1397,1371,0.92,8,16,1674
1057,1088,0.98,3,57,1230
1289,1340,0.92,4,7,1543
1877,1738,0.43,0,55,1708
1295,1373,0.4,0,38,1358
1798,1699,0.41,0,42,1686
1649,1624,0.56,0,49,1613
1241,1281,0.64,0,36,1302
912,1055,0.84,3,55,1176
1670,1624,0.44,0,30,1615
1875,1899,0.21,0,6,1876
1289,1388,0.4,0,27,1373
1562,1447,0.66,0,37,1471
1907,1877,0.68,1,34,1934
1161,1180,0.22,0,30,1138
1975,2020,0.47,0,48,1996
1533,1636,0.21,0,36,1592
1722,1859,0.88,2,7,1996
1786,1649,0.36,0,6,1648
1159,1096,0.21,0,18,1052
1454,1573,0.79,1,45,1646
1258,1370,0.29,0,59,1318
1633,1503,0.99,2,30,1636
1669,1666,0.65,1,14,1738
1727,1796,0.5,0,5,1816
1634,1674,0.77,3,51,1784
824,798,0.54,3,34,894
1571,1496,0.21,0,15,1452
1499,1640,0.8,1,39,1715
1517,1438,0.56,2,24,1507
1080,993,0.7,0,55,1003
885,884,0.35,0,21,862
942,941,0.66,2,7,1045
910,932,0.45,0,27,924
1192,1234,0.76,2,13,1353
1471,1581,0.38,0,46,1543
1661,1638,0.35,0,55,1596
1026,1129,0.69,1,34,1188
1534,1388,0.55,1,24,1426
1126,1091,0.77,0,29,1132
1004,998,0.86,5,43,1202
1700,1570,0.3,0,39,1540
1544,1498,0.24,0,10,1479
1040,1078,0.68,2,57,1145
1745,1702,0.99,4,17,1896
1444,1487,0.92,2,18,1610
1520,1545,0.96,3,19,1704
954,1096,0.71,0,35,1128
1819,1778,0.28,0,22,1745
1777,1769,0.82,7,31,2027
